Subject,Condition,Order,Start,k,Trial,x,Response,Reversal,RT
S55,simple,1,lejos,1,28,160,1,0,1.27241761700134
S55,simple,1,lejos,1,29,150,0,11,0.94913491799889
S55,simple,1,lejos,1,30,160,1,12,0.801829542000633
S55,simple,2,cerca,1,1,20,0,0,1.19388504900053
S55,simple,2,cerca,1,2,40,0,0,0.975717315999646
S55,simple,2,cerca,1,3,60,0,0,0.943269333001808
S55,simple,2,cerca,1,4,80,0,0,0.649253752999357
S55,simple,2,cerca,1,5,100,1,1,1.27889162399879
S55,simple,2,cerca,1,6,80,0,2,0.692485381998267
S55,simple,2,cerca,1,7,100,0,0,0.91995117499755
S55,simple,2,cerca,1,8,110,0,0,1.10209590600061
S55,simple,2,cerca,1,9,120,0,0,1.09164960500129
S55,simple,2,cerca,1,10,130,1,3,1.44521951099887
S55,simple,2,cerca,1,11,120,0,4,0.761220934997255
S55,simple,2,cerca,1,12,130,0,0,0.996470854999643
S55,simple,2,cerca,1,13,140,0,0,1.11116711800059
S55,simple,2,cerca,1,14,150,1,5,0.955664822002291
