Subject,Condition,Block,Start,StairId,BranchStart,Trial,Distance,Response,Reversal,RT
S70,dual,2,far,2,near,15,130,0,4,0.517237000996829
S70,dual,2,far,2,near,16,140,0,0,0.687645532998431
S70,dual,2,far,2,near,17,150,0,0,0.433375630993396
S70,dual,2,far,2,near,18,160,0,0,0.383275407999463
S70,dual,2,far,2,near,19,170,0,0,0.29173314399668
S70,dual,2,far,2,near,20,180,0,0,0.385593468003208
S70,dual,2,far,2,near,21,190,0,0,0.269784210002399
S70,dual,2,far,2,near,22,200,0,0,0.362291657002061
S70,dual,2,far,2,near,23,210,0,0,0.706630982000206
S70,dual,2,far,2,near,24,220,0,0,0.340674416002003
S70,dual,2,far,2,near,25,220,0,0,0.498809105003602
S70,dual,2,far,2,near,26,220,0,0,0.243271275001462
S70,dual,2,far,2,near,27,220,0,0,0.488116755004739
S70,dual,2,far,2,near,28,220,1,5,0.82588642599876
S70,dual,2,far,2,near,29,210,1,0,0.551990446998389
S70,dual,2,far,2,near,30,200,0,6,0.491943695000373
S70,dual,2,far,2,near,31,210,0,0,0.427875222005241
S70,dual,2,far,2,near,32,220,0,0,0.658288967999397
S70,dual,2,far,2,near,33,220,0,0,0.797419059999811
S70,dual,2,far,2,near,34,220,1,7,0.472685405999073
S70,dual,2,far,2,near,35,210,1,0,0.709258210998087
S70,dual,2,far,2,near,36,200,1,0,0.51879339399602
S70,dual,2,far,2,near,37,190,1,0,0.670078700997692
S70,dual,2,far,2,near,38,180,0,8,0.791828139997961
S70,dual,2,far,2,near,39,190,0,0,0.531491030997131
S70,dual,2,far,2,near,40,200,0,0,0.489151281995873
S70,dual,2,far,2,near,41,210,1,9,0.741435854994052
S70,dual,2,far,2,near,42,200,1,0,0.722346378999646
S70,dual,2,far,2,near,43,190,1,0,0.643416359002003
S70,dual,2,far,2,near,44,180,1,0,0.457780828000978
S70,dual,2,far,2,near,45,170,0,10,0.757242243998917
S70,dual,2,far,2,near,46,180,0,0,0.91120759799378
S70,dual,2,far,2,near,47,190,0,0,1.11300240299897
S70,dual,2,far,2,near,48,200,0,0,1.39520364600321
S70,dual,2,far,2,near,49,210,0,0,0.407699906994822
S70,dual,2,far,2,near,50,220,0,0,0.553591661999235
S70,dual,2,far,2,near,51,220,0,0,0.748821135995968
S70,dual,2,far,2,near,52,220,1,11,0.716005851994851
S70,dual,2,far,2,near,53,210,1,0,0.610669955000049
S70,dual,2,far,2,near,54,200,1,0,0.334504071994161
S70,dual,2,far,2,near,55,190,0,12,0.546455431998766
